cluster,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,540.74,569.2,557.33,610.99,709.76
1,477.63,508.39,504.23,497.47,588.81
